time_sec,x,y,z
0.258,0.446361150573658,-0.08225390851729386,0.056291100795897775
0.351,0.4593507088014506,-0.08211116905894979,0.056348891419546854
0.427,0.4690828042969022,-0.08201802062073883,0.05636943438689168
0.517,0.48109353932707233,-0.08189766545100437,0.05642039087304418
0.606,0.48709241647325374,-0.08184256273238297,0.056444301576875605
0.647,0.49739008691437697,-0.0817457423587029,0.05649891848367197
0.689,0.5121543436470583,-0.08160800520884343,0.05660053059400949
0.729,0.5184039266103523,-0.08155052246124565,0.05663163168496069
0.77,0.5319186203988502,-0.08142998675049648,0.05670842710242885
0.809,0.5439427271613668,-0.08132117561896894,0.05678669429574926
0.848,0.5506980008655226,-0.08126185722529596,0.05681824572701161
0.887,0.5640286843206674,-0.0811537954780263,0.05689286966854257
0.926,0.5739367945979177,-0.0810669868005924,0.056960669214450615
0.966,0.5859404567833872,-0.08097041965992992,0.05704014952325587
1.016,0.5975389809632248,-0.08087174252656806,0.05712470346660675
1.077,0.6091294058857186,-0.08077150708563607,0.057176388554597446
1.137,0.6193435414999668,-0.08069947247898704,0.057232372947578714
1.229,0.6310096237404582,-0.08060493940727138,0.057302208051182024
1.274,0.6423727392292791,-0.08051223697922348,0.0573491313377974
1.366,0.6532127280051734,-0.08044427155639858,0.057427062867045686
1.407,0.6679045281845746,-0.08033714560102899,0.057567013900096164
1.447,0.6801222802425728,-0.0802433723143763,0.05764315644178031
1.586,0.6890423614046699,-0.08017713562258441,0.05767944335189534
1.624,0.7042925029353568,-0.08009864224596354,0.05778136723706068
1.712,0.7162544966590632,-0.08005350366116819,0.05783929321628939
1.751,0.7275612761028134,-0.08002314945277834,0.05792776933111138
1.798,0.7433904113280618,-0.07997002326816097,0.058082380386979104
1.871,0.7516982372768541,-0.07993781797861395,0.0581393766559275
2.02,0.7644875742934027,-0.07990509766275539,0.058247075529982706
2.09,0.7808096278238761,-0.07985632413456445,0.05840344552164167
2.168,0.7869155164135593,-0.07984357918070067,0.05847352610614143
