time_sec,x,y,z
0.319,4.505136961803224,-0.10157523177199808,0.15806870322959954
0.438,4.978277796495761,-0.1086308942033052,0.20139451274965792
0.502,5.065840976980745,-0.10968947314894514,0.20880079527049755
0.607,5.172457808161816,-0.10928676970714185,0.2158991615249053
0.663,5.355282405403928,-0.10454155015007223,0.21970323804194125
0.706,5.45115399150682,-0.10090401671532467,0.21827254077026392
0.753,5.54756985229586,-0.09700729188461446,0.21531077850053393
0.792,5.6470182010839665,-0.09296789313418824,0.2113164954470368
0.832,5.744727276335853,-0.0903288837582064,0.20631628608562957
0.873,5.834900438395218,-0.08839280692835866,0.20127542021082911
0.92,5.934048727368152,-0.0866997880566597,0.19552046786914357
0.959,6.0514517727098625,-0.08511640374695184,0.1888066192401161
0.997,6.1245653518169005,-0.08423657123759519,0.18492862721172187
1.036,6.222868990287081,-0.08322399824174971,0.1803027974499254
1.075,6.34289647844234,-0.08205529416375688,0.17565110533532513
1.114,6.412967019610466,-0.08168119236378765,0.17371955623919266
1.154,6.535628422644931,-0.08152199864677082,0.17216162184679895
1.192,6.631362008815854,-0.0816219777629431,0.17230155864098817
1.233,6.7197825144825645,-0.08180020694008779,0.17322282742172668
1.272,6.817954930704636,-0.08205779903626721,0.17486099817171175
1.316,6.9343628093810015,-0.08236513192369065,0.17712680613571763
1.356,7.031893603395606,-0.0825721751827015,0.17893805729779855
1.762,7.10485297853677,-0.0826767108513833,0.18011808148410502
2.164,7.403411799631581,-0.08250609135614174,0.1845147491493635
2.562,8.184226685120905,-0.08419711682237167,0.20989600440279288
2.96,8.623403130439408,-0.05742611394647021,0.18946146998838165
3.007,8.769347240309354,-0.04849761883204115,0.17475731682807005
3.048,8.851208155498707,-0.04537654783543943,0.1653585306574068
3.086,8.892117812121565,-0.044349693084256736,0.1603029865170762
3.125,9.019340801705487,-0.04285603068965995,0.1433491600057759
3.163,9.108508347336356,-0.04211058912379139,0.13115350118098146
3.2,9.197215896309393,-0.04166820761821193,0.11929331342855765
3.245,9.322981539431986,-0.04079954858341321,0.1034621136055538
3.286,9.366473473714903,-0.040393597660431754,0.09839490019700836
3.326,9.473347640393134,-0.039525735067687015,0.08756160475577257
3.364,9.580719932310078,-0.038701809789582854,0.07897695700981178
3.403,9.641392092943462,-0.038107612889234886,0.07505026667656178
3.443,9.728973907534101,-0.03723904589647214,0.07039252946108032
3.482,9.834544930758476,-0.036026415728991276,0.06580570828208732
3.522,9.895060088438537,-0.035218064685539896,0.06343450592497124
3.561,10.00112049352988,-0.034188419005228024,0.05929916175531158
3.6,10.08461002926032,-0.033806232933324486,0.05602477633317715
3.638,10.15781294697224,-0.03350312190897775,0.05311211180373654
3.677,10.238230761132655,-0.033459848233231324,0.04979309638379181
3.716,10.275279898401202,-0.033365361722040146,0.04819052962400683
3.757,10.412334800184503,-0.03347232242366239,0.041728891338645546
4.158,10.494207466990035,-0.033631645336805044,0.037503343585326476
4.197,10.570595314797426,-0.033941108705030865,0.0331263684547114
4.236,10.6610500452133,-0.03430273180718425,0.027414398058605016
4.28,10.736646180413668,-0.03488444259150279,0.02225632977477776
4.326,10.75492617447835,-0.03497404723691126,0.020965286731283506
4.371,10.880394162202855,-0.03579078635250377,0.01197410648567665
4.421,10.956009189547368,-0.03627282691449677,0.006718507044619848
4.824,11.032160363182456,-0.03669667926684634,0.0015876555749185783
4.871,11.120667279878024,-0.036910142944948265,-0.004028277838102667
4.91,11.195282917009092,-0.03706864534240782,-0.008320477778156032
4.949,11.270220078677221,-0.03665370677542843,-0.01166871047107687
4.987,11.339014626267389,-0.03587916376200229,-0.01367681041961788
5.026,11.413586976745869,-0.03498324045169364,-0.0147975304697896
5.065,11.486503950751501,-0.03403518447956167,-0.015152275019364225
5.105,11.563776843046329,-0.032845620231572295,-0.015032754482657396
5.152,11.636521363902528,-0.031928578225748676,-0.014719262246169151
5.192,11.722860347923692,-0.03090742510264484,-0.01445706053382878
5.231,11.78752440661727,-0.03012730307419873,-0.014472754727584025
5.27,11.857704919861405,-0.029726852581891422,-0.014547730868220476
5.308,11.957213444433854,-0.029142461536029757,-0.01404227450933071
5.347,12.026342677654352,-0.028749473230752377,-0.013192801308343327
5.385,12.115979979066523,-0.028400575115363837,-0.011648667587809136
5.425,12.184038325622076,-0.028182468065925285,-0.010307659965618221
5.463,12.253493139090438,-0.02776889965308208,-0.008810116346517738
5.502,12.327969343198411,-0.027429915524577225,-0.00712424749265228
